	AD	AO	BL	CO	GM12878	h1	HC	IMR90	LG1	LI	LV	mes	msc	npc	OV	PA2	PO1	RV	SB2	SX1	tro
CellCycle	3.2425094385091175	7.22536188776522	5.757651363938789	6.925777777777777	11.22949117341641	65.9207263064659	4.523693416728506	1.0300917080626673	0.667578160605232	33.06437768240343	17.476324906967793	33.1789985809852	143.31389488840895	24.273598892952457	2.897382441510308	0.9724098289984193	4.674493927125506	0.9171310444005033	3.3628121520598055	20.1530041352469	14.662867274569402
ChromatinRemodel		1.2040452111838191		1.0837037037037036	0.6410955347871236	0.6488042515500443		0.8477264042797096		0.971864568431092	1.0	0.4686803162375836		0.5790254027873876				1.0828689555994968			
DDR	1.0	0.5728732897085068		1.376148148148148	7.61656282450675	6.163640389725421	1.318562493374324	6.083874665647688	0.8502415458937198	3.5038149737720556	0.5788528166303093	0.4913845530103385	8.392728581713463	0.9965404764258179			0.8793522267206477	3.606327521121697		2.5589880807589394	2.830547112462006
DNAMethylation										1.0319504053409634	0.5366354420633902			0.4888801027972719			0.8823211875843455				
Endocrine								0.2944210928544134													
Immune	2.4374648566149895	2.1463414634146343	3.126081170991351	1.6285925925925924	3.870586708203531	27.057351638618247	2.4862715997031697	14.260221627818114	1.4677331145747883	9.41440152598951	6.107147440010265	20.512467058585038	21.312455003599712	5.893644360976574	1.1027333796618022	2.1181204196005172	4.035222672064777	9.071004853496314	2.61651025926515	1.2697640476769643	27.60131712259372
PI3K_Growth	0.2576110530966343	1.1504065040650406	0.47480039920159683	0.45081481481481483	0.2784267912772586	0.7278565101860053	0.31898653662673593	0.5630492930836836		0.910824988078207	0.5756448094443731	0.46422055544293533	0.8848092152627791	0.49243846990214485		0.8335967811467164	0.8534412955465588	0.8459464317814129	1.125019882296803	0.5387983459012405	0.8994427558257345
TissueArchitecture	0.45160253835649455	0.4279198889549871	0.738855622089155	0.4022222222222222	0.4744288681204569	0.8100088573959257	0.4418530690130393	1.2548719908291939		0.9041487839771101	0.18914410368279225	1.0954794242854247	0.9222462203023758	0.39181575565879206	0.3807041927264304	0.4047995401638167		1.5651626820061117	0.5268013360903451		0.8206686930091186
