,cluster
CCR10,4
CCR2,15
CCR3,189
CCR4,32
CCR5,37
CCR6,182
CCR7,122
CCR8,38
CCR9,19
CCRL2,143
CCS,192
CCSER1,186
CCSER2,46
CCT2,162
CCT3,162
CCT4,162
CCT5,11
CCT6A,197
CCT6B,47
CCT7,162
CCT8,162
CCT8L2,189
CD101,154
CD109,164
CD151,159
CD163,20
CD163L1,180
CD164,193
CD164L2,16
CD180,34
CD1A,20
CD1B,145
CD1C,23
CD1D,143
CD1E,34
CD2,154
CD200,24
CD200R1,155
CD200R1L,47
CD209,5
CD22,30
CD226,65
CD244,27
CD248,119
CD27,182
CD274,35
CD276,5
CD28,10
CD2AP,165
CD300A,182
CD300C,186
CD300E,186
CD300LB,39
CD300LD,20
CD300LF,20
CD300LG,3
CD302,165
CD320,192
CD33,36
CD36,43
CD37,164
CD38,26
CD3D,96
CD3E,36
CD3G,79
CD40,164
CD40LG,38
CD44,140
CD46,104
CD48,24
CD5,125
CD53,34
CD55,32
CD59,192
CD5L,174
CD6,22
CD63,9
CD68,199
CD69,54
CD79A,113
CD79B,113
CD80,68
CD81,113
CD82,4
CD84,159
CD86,34
CD9,32
CD93,186
CD99L2,174
CDADC1,36
CDC14A,48
CDC14B,137
CDC16,162
CDC20,13
CDC20B,35
CDC23,6
CDC25A,15
CDC25B,12
CDC25C,33
CDC27,88
CDC34,56
CDC37,116
CDC37L1,62
CDC40,109
CDC42,152
CDC42BPA,58
CDC42BPB,77
CDC42BPG,137
CDC42EP1,44
CDC42EP2,119
CDC42EP3,181
CDC42EP4,55
CDC42EP5,61
CDC42SE1,129
CDC42SE2,9
CDC5L,13
CDC6,13
CDC7,104
CDCA2,7
CDCA4,77
CDCA7,2
CDCA7L,47
CDCP2,138
CDH1,158
CDH10,27
CDH11,85
CDH12,66
CDH13,166
CDH15,168
CDH16,171
CDH17,67
CDH18,26
CDH19,43
CDH2,152
CDH20,70
CDH22,15
CDH23,21
CDH24,140
CDH26,181
CDH3,42
CDH4,61
CDH5,143
CDH6,156
CDH7,170
CDH8,68
CDH9,42
CDHR1,125
CDHR2,172
CDHR3,175
CDHR4,166
CDHR5,60
CDIP1,200
CDK1,12
CDK10,78
CDK12,88
CDK13,116
CDK14,26
CDK15,155
CDK16,64
CDK17,44
CDK18,182
CDK19,43
CDK2,161
CDK20,9
CDK2AP1,185
CDK2AP2,119
CDK3,125
CDK4,87
CDK5,183
CDK5R1,178
CDK5R2,166
CDK5RAP1,132
CDK5RAP2,162
CDK6,115
CDK7,101
CDK8,37
CDK9,101
CDKAL1,23
CDKL1,145
CDKL2,14
CDKL3,23
CDKL4,38
CDKL5,26
CDKN1A,140
CDKN1B,159
CDKN1C,60
CDKN2A,57
CDKN2AIP,64
CDKN2AIPNL,171
CDKN2B,57
CDKN2C,159
CDKN2D,54
CDKN3,32
CDNF,125
CDON,79
CDR2,155
CDR2L,10
CDRT15,5
CDRT15L2,5
CDS1,44
CDS2,85
CDX1,190
CDX2,104
CDX4,14
CDYL,191
CDYL2,141
CEACAM1,6
CEACAM16,177
CEACAM19,65
CEACAM21,5
CEACAM3,2
CEACAM4,44
CEACAM5,47
CEACAM6,142
CEACAM7,27
CEACAM8,70
CEBPA,115
CEBPB,86
CEBPD,124
CEBPE,121
CEBPG,144
CEL,69
CELA1,137
CELA2A,69
CELA2B,69
CELA3A,69
CELA3B,69
CELF1,166
CELF2,65
CELF3,189
CELF4,189
CELF5,178
CELF6,182
CELSR1,167
CELSR2,30
CELSR3,171
CEMIP,16
CEMIP2,30
CENPA,99
CENPB,54
CENPE,84
CENPV,167
CEP135,83
CEP152,83
CEP164,44
CEP170,96
CEP170B,77
CEP250,132
CEP295,83
CEP295NL,36
CEP41,23
CEP57,83
CEP57L1,23
CEP63,83
CEP68,184
CEP72,61
CEP76,31
CEP83,198
CEP85,88
CEP85L,200
CEP97,83
CEPT1,113
CER1,62
CERCAM,19
CERK,98
CERKL,200
CERS1,167
CERS2,149
CERS3,47
CERS4,178
CERS5,24
CERS6,127
CERT1,149
CES1,94
CES2,198
CES3,171
CES4A,18
CES5A,49
CETN1,17
CETN2,24
CETN3,31
CETP,132
CFAP100,49
CFAP119,180
CFAP144,136
CFAP20,99
CFAP20DC,38
CFAP251,77
CFAP276,153
CFAP44,143
CFAP47,32
CFAP52,41
CFAP58,98
CFAP65,174
CFAP70,165
CFAP73,67
CFB,18
CFC1,69
CFC1B,2
CFD,56
CFH,31
CFHR1,88
CFHR2,166
CFHR3,88
CFHR5,24
CFI,124
CFL1,105
CFL2,36
CFLAR,150
CFTR,10
CGAS,28
CGB7,172
CGN,129
CGNL1,48
CGREF1,174
CH25H,167
CHAC1,196
CHAC2,155
CHAD,200
CHADL,173
CHAT,137
CHCHD10,167
CHCHD2,138
CHCHD3,71
CHCHD5,133
CHCHD6,175
CHD1,99
CHD1L,24
CHD2,29
CHD3,5
CHD4,90
CHD5,75
CHD6,43
CHD7,115
CHD8,105
CHD9,26
CHGA,47
CHGB,185
CHI3L1,144
CHI3L2,26
CHIA,153
CHIC1,198
CHIC2,4
CHID1,61
CHIT1,173
CHKA,113
CHKB,98
CHL1,23
CHM,113
CHML,3
CHMP1A,104
CHMP1B,196
CHMP2A,104
CHMP2B,44
CHMP3,104
CHMP4A,121
CHMP4B,85
CHMP4C,157
CHMP5,150
CHMP7,162
CHN1,27
CHN2,10
CHODL,37
CHORDC1,116
CHP1,38
CHP2,24
CHPF,168
CHPF2,97
CHPT1,155
CHRD,173
CHRDL1,188
CHRDL2,130
CHRFAM7A,199
CHRM1,119
CHRM2,97
CHRM3,58
CHRM4,177
CHRM5,140
CHRNA1,68
CHRNA10,172
CHRNA2,68
CHRNA3,41
CHRNA4,182
CHRNA5,197
CHRNA6,134
CHRNA7,24
CHRNA9,177
CHRNB1,132
CHRNB2,68
CHRNB3,134
CHRNB4,63
CHRND,78
CHRNE,166
CHRNG,78
CHST1,49
CHST10,133
CHST11,170
CHST12,169
CHST13,169
CHST14,186
CHST2,64
CHST3,18
CHST4,142
CHST5,181
CHST6,55
CHST7,66
CHST8,189
CHST9,156
CHSY1,60
CHSY3,166
CHTOP,129
CHUK,117
CIAO2A,165
CIAO2B,83
CIAO3,162
CIB1,39
CIB2,174
CIB3,138
CIB4,185
CIBAR1,30
CIBAR2,199
CIC,157
CIDEA,64
CIDEB,121
CIDEC,47
CIITA,137
CILK1,171
CILP,1
CILP2,167
CIMAP1A,78
CIMAP1B,69
CIMAP1C,4
CIMAP1D,60
CIMIP1,36
CIMIP2B,176
CIMIP5,66
CIP2A,83
CIRBP,62
CISD1,54
CISD2,193
CISD3,122
CISH,124
CIT,92
CITED1,138
CITED2,88
CITED4,68
CKAP2,157
CKAP2L,159
CKAP4,26
CKB,61
CKLF,127
CKM,173
CKMT2,177
CKS1B,161
CKS2,31
CLASRP,99
CLBA1,77
CLC,120
CLCA1,32
CLCA2,164
CLCA4,192
CLCF1,178
CLCN1,8
CLCN2,168
CLCN3,98
CLCN4,181
CLCN5,143
CLCN6,70
CLCN7,165
CLCNKA,70
CLCNKB,197
CLDN1,77
CLDN10,3
CLDN11,19
CLDN14,175
CLDN15,174
CLDN16,182
CLDN17,49
CLDN18,192
CLDN19,3
CLDN2,44
CLDN20,175
CLDN22,57
CLDN23,48
CLDN25,79
CLDN3,177
CLDN4,177
CLDN5,163
CLDN6,185
CLDN7,197
CLDN8,48
CLDN9,200
CLDND2,10
CLEC10A,5
CLEC11A,198
CLEC12A,143
CLEC12B,5
CLEC14A,142
CLEC17A,145
CLEC18A,172
CLEC18B,94
CLEC1A,14
CLEC1B,68
CLEC2A,155
CLEC2B,38
CLEC2D,41
CLEC2L,66
CLEC3A,6
CLEC3B,166
CLEC4A,1
CLEC4C,171
CLEC4D,127
CLEC4E,29
CLEC4F,49
CLEC4G,17
CLEC4M,180
CLEC5A,57
CLEC6A,144
CLEC7A,22
CLEC9A,24
CLGN,1
CLHC1,156
CLIC1,170
CLIC2,62
CLIC3,78
CLIC4,66
CLIC5,140
CLIC6,65
CLINT1,38
CLIP1,175
CLIP2,188
CLIP3,68
CLIP4,57
CLK1,11
CLK2,129
CLK3,48
CLK4,78
CLMN,199
CLMP,157
CLN8,61
CLNK,43
CLOCK,167
CLP1,53
CLPS,174
CLPSL1,68
CLPSL2,190
CLPTM1,178
CLPTM1L,69
CLRN1,17
CLRN2,132
CLRN3,3
CLSTN1,139
CLSTN2,26
CLSTN3,196
CLTA,67
CLTB,74
CLTC,107
CLTCL1,22
CLU,67
CLUL1,199
CLVS1,14
CLVS2,199
CLXN,36
CMA1,23
CMKLR1,181
CMKLR2,186
CMPK1,111
CMPK2,184
CMTM1,156
CMTM2,188
CMTM3,9
CMTM4,44
CMTM5,121
CMTM6,46
CMTM7,169
CMTM8,5
CMTR1,99
CMTR2,99
CMYA5,44
CNBD1,48
CNBP,197
CNDP1,191
CNDP2,4
CNFN,173
CNGA1,24
CNGA2,175
CNGA3,133
CNGA4,167
CNGB1,189
CNGB3,136
CNIH1,9
CNIH2,119
CNIH3,58
CNIH4,194
CNKSR1,68
CNKSR2,156
CNKSR3,54
CNMD,189
CNN1,36
CNN2,180
CNN3,154
CNNM1,166
CNNM2,74
CNNM3,67
CNNM4,189
CNOT2,82
CNOT3,82
CNOT6,82
CNOT6L,6
CNOT7,82
CNOT8,82
CNPY1,9
CNPY2,91
CNPY3,140
CNPY4,126
CNR1,21
CNR2,70
CNTFR,176
CNTN1,9
CNTN2,20
CNTN3,49
CNTN4,60
CNTN5,164
CNTN6,57
CNTNAP1,137
CNTNAP2,199
CNTNAP3,66
CNTNAP3B,66
CNTNAP4,41
CNTNAP5,4
COASY,111
COBL,187
COBLL1,199
COCH,24
COG4,150
COL10A1,4
COL11A1,154
COL11A2,166
COL12A1,5
COL13A1,34
COL14A1,167
COL15A1,138
COL16A1,41
COL17A1,49
COL18A1,170
COL19A1,125
COL1A1,167
COL1A2,191
COL20A1,58
COL21A1,49
COL22A1,169
COL23A1,179
COL24A1,21
COL25A1,172
COL27A1,169
COL28A1,190
COL2A1,175
COL3A1,172
COL4A1,191
COL4A2,174
COL4A3,44
COL4A4,172
COL4A5,37
COL4A6,22
COL5A1,36
COL5A2,5
COL5A3,49
COL6A1,68
COL6A2,179
COL6A3,4
COL6A6,7
COL7A1,193
COL8A1,127
COL8A2,11
COL9A1,140
COL9A2,174
COL9A3,70
COLEC10,48
COLEC11,61
COLEC12,171
COLGALT1,42
COLGALT2,39
COLQ,2
COMMD6,200
COMMD7,150
COMMD8,150
COMP,169
COMT,163
COMTD1,196
COP1,108
COPA,6
COPB2,6
COPG1,150
COPS2,109
COPS3,109
COPS4,109
COPS5,109
COPS6,109
COPS7A,109
COPS7B,64
COPZ1,13
COQ10A,144
COQ10B,172
COQ2,72
COQ5,72
COQ6,72
COQ8A,96
COQ8B,18
CORO1A,113
CORO1B,119
CORO1C,105
CORO2A,53
CORO2B,188
CORO6,123
CORO7,200
CORT,84
COTL1,64
COX10,72
COX11,72
COX16,72
COX18,72
COX19,72
COX4I1,72
COX4I2,180
COX6A1,72
COX6A2,133
COX6B1,72
COX6B2,178
COX7A1,68
COX7A2L,155
COX7B,72
COX7B2,31
COX8A,72
COX8C,179
CP,46
CPA1,173
CPA2,15
CPA3,47
CPA4,166
CPA5,96
CPA6,34
CPAMD8,183
CPAP,83
CPB1,156
CPB2,4
CPD,91
CPE,74
CPEB1,18
CPEB2,42
CPEB3,167
CPEB4,42
CPLX1,179
CPLX2,98
CPLX3,180
CPLX4,20
CPM,36
CPN1,170
CPN2,77
CPNE1,132
CPNE2,132
CPNE3,5
CPNE4,48
CPNE5,140
CPNE6,121
CPNE7,183
CPNE8,157
CPNE9,74
CPO,141
CPS1,155
CPSF1,102
CPSF2,102
CPSF3,102
CPSF4,99
CPSF4L,170
CPSF6,13
CPSF7,42
CPT1A,119
CPT1B,3
CPT1C,42
CPT2,156
CPTP,75
CPVL,44
CPXM1,7
CPXM2,9
CPZ,182
CR1L,104
CR2,5
CRABP1,175
CRABP2,127
CRACDL,153
CRACR2A,61
CRACR2B,60
CRAT,68
CRB2,140
CRB3,158
CREB1,58
CREB3,176
CREB3L1,177
CREB3L2,68
CREB3L3,63
CREB3L4,10
CREB5,68
CREBBP,88
CREG1,61
CREG2,67
CRELD1,170
CRELD2,98
CREM,198
CRH,144
CRHR1,19
CRHR2,192
CRIM1,170
CRIP1,77
CRIP2,77
CRIP3,37
CRIPT,109
CRIPTO,183
CRISP1,38
CRISP2,47
CRISP3,155
CRISPLD1,42
CRISPLD2,187
CRK,152
CRKL,152
CRLF1,135
CRLF3,123
CRLS1,71
CRMP1,61
CRNKL1,13
CRNN,178
CROCC,55
CROT,31
CRP,24
CRTAM,26
CRTAP,199
CRTC1,31
CRTC2,81
CRTC3,81
CRX,14
CRY1,37
CRY2,193
CRYAA,55
CRYAB,79
CRYBA1,123
CRYBA2,191
CRYBA4,96
CRYBB1,68
CRYBB2,66
CRYBB3,138
CRYBG1,177
CRYGA,37
CRYGB,132
CRYGC,125
CRYGD,183
CRYGN,182
CRYGS,77
CRYL1,177
CRYZ,157
CRYZL1,36
CSAD,65
CSAG1,66
CSDC2,184
CSE1L,88
CSF1R,145
CSF2RB,116
CSF3R,185
CSGALNACT1,142
CSGALNACT2,37
CSH2,59
CSHL1,59
CSK,113
CSKMT,119
CSMD1,7
CSMD2,174
CSMD3,167
CSNK1A1,90
CSNK1A1L,177
CSNK1D,77
CSNK1G1,137
CSNK1G2,20
CSNK1G3,44
CSNK2A1,38
CSNK2A2,38
CSRNP1,114
CSRNP2,196
CSRNP3,65
CSRP1,36
CSRP2,166
CSRP3,199
CST1,94
CST11,24
CST2,185
CST3,185
CST4,94
CST5,4
CST6,119
CST7,165
CST8,1
CST9,188
CST9L,44
CSTA,30
CSTB,197
CSTF1,99
CSTF2,88
CSTF2T,90
CSTL1,34
CT47B1,68
CT55,94
CTAG2,168
CTAGE1,65
CTAGE9,181
CTBP1,116
CTBP2,89
CTBS,48
CTCF,104
CTCFL,58
CTDNEP1,162
CTDSP1,64
CTDSP2,195
CTDSPL,180
CTDSPL2,109
CTF1,5
CTHRC1,128
CTIF,200
CTLA4,4
CTNNA1,158
CTNNA2,143
CTNNA3,191
CTNNAL1,8
CTNNB1,104
CTNNBIP1,90
CTNND1,158
CTNND2,17
CTPS1,111
CTPS2,89
CTRB1,181
CTRB2,181
CTRC,175
CTRL,37
CTSA,28
CTSB,4
CTSC,98
CTSD,69
CTSE,166
CTSF,119
CTSG,121
CTSH,181
CTSK,129
CTSL,28
CTSO,29
CTSS,49
CTSV,9
CTSW,119
CTSZ,58
CTTN,15
CTTNBP2,68
CTTNBP2NL,154
CTXN1,3
CTXN2,28
CTXN3,44
CUBN,5
CUL1,12
CUL2,200
CUL3,105
CUL4A,7
CUL4B,162
CUL5,108
CUL7,187
CUL9,187
CUX1,65
CUX2,197
CUZD1,89
CWC22,12
CWC27,36
CWF19L1,109
CWF19L2,109
CX3CL1,42
CX3CR1,42
CXCL1,185
CXCL10,11
CXCL11,39
CXCL13,2
CXCL2,96
CXCL3,11
CXCL5,181
CXCL6,67
CXCL8,198
CXCL9,34
CXCR1,42
CXCR2,171
CXCR3,18
CXCR4,137
CXCR5,79
CXCR6,172
CXXC1,110
CXXC4,64
CXXC5,182
CYB561,186
CYB561A3,113
CYB561D1,153
CYB561D2,159
CYB5A,42
CYB5B,103
CYB5D2,179
CYB5R1,41
CYB5R2,145
CYB5R3,98
CYB5R4,110
CYB5RL,200
CYBB,192
CYBRD1,64
CYFIP1,157
CYGB,58
CYLC1,37
CYLC2,9
CYP11A1,2
CYP11B1,94
CYP11B2,172
CYP19A1,189
CYP1A1,37
CYP1A2,184
CYP1B1,68
CYP24A1,58
CYP26A1,4
CYP26B1,68
CYP26C1,4
CYP27A1,53
CYP27B1,195
CYP27C1,189
CYP2A13,181
CYP2A6,172
CYP2A7,41
CYP2B6,32
CYP2C18,155
CYP2C19,128
CYP2C8,24
CYP2C9,45
CYP2D6,30
CYP2E1,78
CYP2F1,15
CYP2J2,8
CYP2R1,67
CYP2S1,5
CYP2U1,189
CYP2W1,182
CYP39A1,30
CYP3A4,46
CYP3A43,28
CYP3A5,30
CYP3A7,66
CYP4A11,27
CYP4A22,172
CYP4B1,185
CYP4F11,96
CYP4F12,96
CYP4F2,96
CYP4F22,14
CYP4F3,145
CYP4V2,98
CYP4X1,143
CYP4Z1,24
CYP7A1,139
CYP7B1,53
CYP8B1,174
CYRIA,42
CYRIB,105
CYSLTR1,26
CYSLTR2,31
CYTH1,27
CYTH2,178
CYTH3,141
CYTH4,19
CYTIP,44
D2HGDH,78
DAAM1,142
DAAM2,53
DAB1,143
DAB2,1
DAB2IP,68
DACH1,10
DACH2,132
DACT1,1
DACT2,169
DACT3,173
DAGLA,119
DAGLB,62
DAND5,165
DAO,145
DAP,141
DAPK1,68
DAPK2,189
DAPK3,108
DAPL1,38
DAPP1,143
DARS1,108
DARS2,72
DAW1,57
DAZAP1,89
DAZL,28
DBF4,104
DBF4B,29
DBH,173
DBI,139
DBN1,174
DBNDD1,78
DBNDD2,40
DBNL,124
DBP,166
DBT,140
DBX2,8
DCAF12,186
DCAF12L1,139
DCAF12L2,191
DCAF4,59
DCAF4L1,169
DCAF4L2,10
DCAF5,168
DCAF6,34
DCAF8,22
DCAF8L1,197
DCAF8L2,43
DCAKD,132
DCBLD1,170
DCBLD2,198
DCC,167
DCD,5
DCDC2,60
DCDC2B,127
DCHS1,190
DCHS2,55
DCK,29
DCLK1,143
DCLK2,199
DCLK3,34
DCLRE1A,198
DCLRE1B,82
DCLRE1C,67
DCN,42
DCP1B,139
DCST1,129
DCST2,16
DCSTAMP,128
DCT,141
DCTD,3
DCTN1,162
DCUN1D1,42
DCUN1D2,77
DCUN1D3,132
DCUN1D4,37
DCUN1D5,29
DCX,174
DDAH1,44
DDAH2,67
DDB1,6
DDC,21
DDHD1,48
DDHD2,134
DDI1,79
DDI2,88
DDIT4,108
DDIT4L,48
DDO,68
DDR1,177
DDR2,188
DDX1,99
DDX10,59
DDX11,162
DDX17,28
DDX18,100
DDX19A,85
DDX19B,26
DDX20,101
DDX21,100
DDX23,13
DDX24,86
DDX25,79
DDX27,100
DDX28,72
DDX31,82
DDX39A,180
DDX39B,38
DDX3X,165
DDX4,39
DDX41,13
DDX42,157
DDX43,125
DDX46,13
DDX47,101
DDX49,100
DDX5,88
DDX50,28
DDX51,100
DDX52,101
DDX53,1
DDX54,100
DDX55,100
DDX56,100
DDX59,99
DDX6,64
DDX60,199
DDX60L,70
DECR1,5
DECR2,78
DEDD,44
DEDD2,167
DEF6,41
DEF8,78
DEFA4,46
DEFA5,22
DEFA6,167
DEFB115,155
DEFB116,155
DEFB118,155
DEFB119,9
DEFB121,155
DEFB123,9
DEFB124,155
DEFB125,145
DEFB127,11
DEFB128,11
DEFB129,24
DEFB131A,29
DEFB132,61
DEFB134,66
DEFB135,15
DEGS1,198
DEGS2,169
DELE1,53
DENND1A,113
DENND1B,15
DENND1C,28
DENND2A,190
DENND2B,35
DENND2C,154
DENND2D,48
DENND3,185
DENND4A,113
DENND4B,173
DENND4C,104
DENND5A,92
DENND5B,26
DENND6A,186
DENND6B,69
DEPDC1,23
DEPDC1B,1
DEPDC4,38
DEPDC7,28
DEPTOR,131
DERL1,146
DERL2,146
DERL3,196
DES,20
DESI1,171
DESI2,31
DEUP1,24
DFFA,48
DGAT1,76
DGAT2,55
DGAT2L6,180
DGCR6,163
DGCR6L,163
DGKA,136
DGKB,2
DGKD,70
DGKE,193
DGKG,174
DGKH,174
DGKI,67
DGKQ,74
DGKZ,177
DGUOK,44
DHCR7,15
DHDH,187
DHFR,111
DHFR2,111
DHH,68
DHODH,111
DHRS1,121
DHRS11,122
DHRS12,27
DHRS13,123
DHRS2,5
DHRS3,167
DHRS4,94
DHRS4L2,94
DHRS7,42
DHRS7B,103
DHRS7C,46
DHRS9,60
DHTKD1,180
DHX15,12
DHX16,13
DHX29,116
DHX30,71
DHX32,172
DHX33,100
DHX34,21
DHX35,109
DHX36,110
DHX37,100
DHX38,13
DHX40,164
DHX57,189
DHX58,49
DHX8,13
DHX9,87
DIAPH1,171
DIAPH2,191
DIAPH3,162
DIDO1,172
DIMT1,100
DIO1,192
DIO2,5
DIO3,190
DIP2A,78
DIP2B,65
DIP2C,173
DIPK1A,154
DIPK1B,68
DIPK1C,166
DIPK2A,198
DIPK2B,2
DIRAS1,20
DIRAS2,137
DIRAS3,14
DIS3,100
DIS3L,110
DIS3L2,37
DISP1,58
DISP2,185
DISP3,5
DIXDC1,79
DLAT,112
DLC1,17
DLD,111
DLEC1,54
DLG1,62
DLG2,5
DLG3,37
DLG4,26
DLG5,152
DLGAP1,98
DLGAP2,61
DLGAP3,171
DLGAP4,11
DLGAP5,82
DLK1,17
DLK2,196
DLL1,182
DLL3,120
DLL4,196
DLST,111
DLX1,15
DLX2,68
DLX3,14
DLX4,53
DLX5,165
DLX6,165
DMBT1,89
DMBX1,53
DMC1,49
DMD,36
DMGDH,140
DMPK,167
DMRT1,57
DMRT2,62
DMRT3,57
DMRTA1,57
DMRTA2,183
DMRTB1,67
DMRTC2,96
DMTF1,170
DMTN,26
DMWD,174
DMXL1,113
DMXL2,196
DNAAF1,39
DNAAF10,162
DNAAF11,38
DNAAF2,196
DNAAF3,190
DNAAF4,32
DNAH1,139
DNAH10,17
DNAH11,55
DNAH12,44
DNAH14,11
DNAH2,54
DNAH3,166
DNAH5,61
DNAH6,2
DNAH7,15
DNAH9,136
DNAI1,176
DNAI2,182
DNAI3,154
DNAI4,1
DNAJA1,109
DNAJA2,109
DNAJA3,101
DNAJA4,30
DNAJB1,66
DNAJB11,146
DNAJB12,50
DNAJB13,130
DNAJB14,46
DNAJB2,98
DNAJB4,155
DNAJB5,176
DNAJB6,155
DNAJB7,32
DNAJB8,187
DNAJB9,38
DNAJC1,157
DNAJC10,9
DNAJC11,71
DNAJC12,9
DNAJC13,110
DNAJC14,144
DNAJC15,51
DNAJC16,8
DNAJC17,12
DNAJC18,2
DNAJC19,53
DNAJC2,99
DNAJC21,150
DNAJC24,99
DNAJC25,191
DNAJC27,55
DNAJC28,36
DNAJC3,146
DNAJC30,43
DNAJC4,119
DNAJC5,69
DNAJC5B,14
DNAJC5G,15
DNAJC6,49
DNAJC7,178
DNAJC9,199
DNASE1,196
DNASE1L1,190
DNASE1L2,167
DNASE1L3,193
DNASE2,165
DNASE2B,24
DND1,181
DNER,172
DNHD1,139
DNM1,78
DNM1L,199
DNM2,106
DNM3,30
DNMBP,144
DNMT1,100
DNMT3A,74
DNMT3B,135
DNMT3L,172
DNTT,49
DOC2A,133
DOCK10,152
DOCK11,21
DOCK2,113
DOCK3,5
DOCK4,54
DOCK5,104
DOCK6,156
DOCK7,152
DOCK8,57
DOCK9,167
DOK1,177
DOK2,184
DOK3,74
DOK4,35
DOK5,42
DOK6,5
DOLPP1,150
DOP1A,64
DOP1B,191
DPEP1,96
DPEP2,155
DPEP3,140
DPF1,30
DPF2,90
DPF3,65
DPH1,99
DPH2,99
DPM1,146
DPP10,175
DPP4,44
DPP7,78
DPP8,66
DPP9,173
DPPA2,183
DPPA4,24
DPPA5,125
DPRX,145
DPY19L1,155
DPY19L2,180
DPY19L3,9
DPY19L4,156
DPYD,32
DPYS,61
DPYSL2,54
DPYSL3,178
DPYSL4,78
DPYSL5,168
DQX1,188
DR1,116
DRAM1,128
DRAM2,29
DRAP1,116
DRC1,170
DRC3,167
DRD1,179
DRD2,55
DRD3,11
DRD4,61
DRD5,61
DRG1,156
DRG2,3
DRGX,30
DRICH1,34
DRP2,67
DSC1,170
DSC2,67
DSC3,29
DSCAM,21
DSCAML1,61
DSE,178
DSEL,27
DSG1,1
DSG2,50
DSG3,164
DSG4,28
DSP,8
DST,22
DSTN,52
DSTYK,182
DTD1,50
DTD2,139
DTHD1,5
DTNA,22
DTNB,199
DTNBP1,8
DTWD1,29
DTX1,61
DTX2,162
DTX3,29
DTX3L,68
DTX4,170
DTYMK,111
DUOX1,49
DUOX2,174
DUOXA1,187
DUOXA2,137
DUS1L,73
DUS2,171
DUS3L,178
DUS4L,1
DUSP1,61
DUSP10,37
DUSP12,196
DUSP13B,173
DUSP14,157
DUSP15,135
DUSP16,29
DUSP18,68
DUSP19,29
DUSP2,167
DUSP21,189
DUSP22,199
DUSP26,173
DUSP28,199
DUSP29,173
DUSP3,4
DUSP4,81
DUSP5,58
DUSP6,110
DUSP7,174
DUSP8,41
DUSP9,68
DUXA,45
DVL1,75
DVL2,132
DVL3,77
DYDC1,34
DYDC2,156
DYNC1H1,7
DYNC1I1,7
DYNC1I2,36
DYNC1LI1,36
DYNC1LI2,162
DYNC2H1,29
DYNC2I1,53
DYNC2I2,50
DYNLL1,162
DYNLL2,39
DYNLRB1,162
DYNLRB2,5
DYNLT1,142
DYNLT2,47
DYNLT2B,37
DYNLT3,18
DYNLT4,189
DYNLT5,49
DYRK1A,84
DYRK1B,120
DYRK2,39
DYRK3,11
DYRK4,96
DYSF,189
DYTN,26
DZIP1,64
DZIP1L,175
DZIP3,127
E2F1,161
E2F2,68
E2F3,161
E2F4,197
E2F5,11
E2F7,44
E2F8,36
E4F1,101
EAF1,162
EAF2,157
EARS2,72
EBF1,113
EBF2,174
EBF3,54
EBF4,175
EBI3,179
EBLN1,199
EBLN2,3
EBP,175
EBPL,200
ECE1,54
ECEL1,78
ECH1,120
ECHDC1,36
ECHDC2,173
ECHDC3,10
ECHS1,98
ECI1,57
ECI2,29
ECM2,37
ECPAS,38
ECT2L,143
EDA,67
EDA2R,189
EDAR,138
EDDM3A,121
EDDM3B,1
EDEM1,55
EDEM2,15
EDEM3,132
EDIL3,6
EDN1,10
EDN2,140
EDN3,169
EDNRA,64
EDNRB,55
EEF1A2,70
EEF1AKMT3,195
EEF1AKMT4,89
EEF1B2,183
EEF1D,76
EEF1G,53
EEF2,191
EEF2K,174
EEF2KMT,194
EEFSEC,85
EEIG1,68
EEIG2,157
EFCAB12,180
EFCAB2,96
EFCAB3,140
EFCAB5,123
EFCAB6,98
EFCAB7,30
EFCAB9,7
EFCC1,7
EFEMP1,15
EFEMP2,192
EFHB,23
EFHC1,14
EFHC2,39
EFHD1,175
EFHD2,41
EFL1,104
EFNA1,68
EFNA2,56
EFNA3,11
EFNA4,129
EFNA5,200
EFNB1,138
EFNB2,28
EFNB3,156
EFR3A,104
EFR3B,63
EFS,34
EFTUD2,12
EGF,124
EGFL6,175
EGFL7,76
EGFL8,173
EGFLAM,138
EGFR,159
EGLN1,200
EGLN2,180
EGLN3,68
EGR1,62
EGR2,186
EGR3,124
EGR4,196
EHBP1,92
EHBP1L1,37
EHD1,3
EHD2,170
EHD3,37
EHD4,48
EHF,192
EHHADH,77
EHMT1,114
EHMT2,114
EID1,172
EID2,67
EID2B,18
EID3,139
EIF1,160
EIF1AX,165
EIF1B,24
EIF2AK1,53
EIF2AK2,35
EIF2AK3,186
EIF2AK4,108
EIF2B1,53
EIF2B2,160
EIF2B3,160
EIF2B4,160
EIF2B5,160
EIF2S3,92
EIF3F,194
EIF3H,88
EIF3M,88
EIF4A1,84
EIF4A2,59
EIF4A3,12
EIF4B,183
EIF4E,34
EIF4E1B,98
EIF4E2,113
EIF4E3,132
EIF4EBP1,16
EIF4EBP2,127
EIF4EBP3,178
EIF4G1,84
EIF4G2,88
EIF4G3,26
EIF4H,185
EIF5A,99
EIF5A2,51
EIF5AL1,68
EIF5B,53
ELAC1,37
ELAC2,101
ELANE,56
ELAPOR1,67
ELAPOR2,32
ELAVL1,81
ELAVL2,57
ELAVL3,143
ELAVL4,8
ELF1,8
ELF2,200
ELF3,58
ELF4,17
ELF5,140
