,cluster
AGTR1,10
AGTR2,1
AGXT,78
AGXT2,190
AHCY,111
AHCYL1,118
AHCYL2,191
AHI1,9
AHNAK,42
AHNAK2,77
AHR,90
AHRR,90
AHSG,11
AICDA,18
AIF1,26
AIF1L,30
AIFM1,99
AIFM3,163
AIG1,54
AIM2,144
AIP,90
AIPL1,177
AIRE,198
AJUBA,105
AK1,23
AK2,115
AK3,10
AK4,183
AK5,35
AK7,190
AK8,5
AK9,9
AKAIN1,69
AKAP11,180
AKAP3,66
AKAP4,5
AKAP6,156
AKAP7,15
AKAP8,9
AKAP8L,14
AKAP9,43
AKIRIN1,82
AKIRIN2,13
AKNA,39
AKNAD1,154
AKR1A1,171
AKR1B1,186
AKR1B10,65
AKR1B15,50
AKR1C2,30
AKR1C3,34
AKR1C4,4
AKR1D1,18
AKR1E2,94
AKR7A2,37
AKR7A3,180
AKT1,149
AKT2,113
AKT3,31
AKTIP,35
ALAS1,115
ALAS2,48
ALB,4
ALCAM,188
ALDH16A1,68
ALDH1A1,192
ALDH1A2,34
ALDH1A3,60
ALDH1B1,139
ALDH1L1,175
ALDH1L2,44
ALDH2,191
ALDH3A1,138
ALDH3A2,49
ALDH3B2,175
ALDH4A1,175
ALDH5A1,139
ALDH6A1,139
ALDH7A1,185
ALDH8A1,173
ALDH9A1,44
ALDOA,99
ALDOB,50
ALDOC,123
ALG1,101
ALG10,164
ALG10B,46
ALG11,6
ALG12,146
ALG2,101
ALG5,150
ALG6,150
ALG8,150
ALG9,146
ALK,92
ALKBH6,120
ALKBH8,99
ALMS1,159
ALOX12,170
ALOX12B,174
ALOX15,78
ALOX15B,37
ALOX5,142
ALOX5AP,4
ALOXE3,167
ALPG,61
ALPI,179
ALPK1,21
ALPK2,11
ALPL,3
ALPP,94
ALS2,193
ALS2CL,174
ALX1,171
ALX3,153
ALX4,174
ALYREF,38
AMACR,174
AMBP,96
AMELX,171
AMER1,189
AMER2,137
AMER3,34
AMFR,191
AMHR2,187
AMIGO1,153
AMIGO2,190
AMIGO3,55
AMMECR1,154
AMMECR1L,49
AMOT,144
AMOTL1,94
AMOTL2,105
AMPD1,154
AMPD2,154
AMPD3,4
AMPH,191
AMT,186
AMY2A,16
AMZ1,179
AMZ2,141
ANAPC11,6
ANAPC2,6
ANAPC7,62
ANG,121
ANGEL1,143
ANGEL2,96
ANGPT1,24
ANGPT2,1
ANGPT4,172
ANGPTL1,37
ANGPTL2,54
ANGPTL3,8
ANGPTL4,4
ANGPTL5,27
ANGPTL6,166
ANGPTL7,118
ANHX,78
ANK1,134
ANK2,74
ANK3,186
ANKAR,196
ANKDD1A,193
ANKDD1B,155
ANKHD1,177
ANKIB1,142
ANKK1,79
ANKLE1,138
ANKRA2,36
ANKRD1,44
ANKRD10,61
ANKRD13A,139
ANKRD13B,123
ANKRD13C,48
ANKRD13D,190
ANKRD16,179
ANKRD17,82
ANKRD18A,43
ANKRD2,68
ANKRD22,155
ANKRD24,42
ANKRD26,198
ANKRD28,110
ANKRD29,180
ANKRD30A,143
ANKRD30B,6
ANKRD31,142
ANKRD33,175
ANKRD33B,61
ANKRD34A,54
ANKRD34B,142
ANKRD34C,61
ANKRD35,132
ANKRD37,55
ANKRD39,189
ANKRD40,200
ANKRD42,170
ANKRD44,145
